coin_code,custody_provider_name,name,code
btc,bitgo,Bitcoin,tbtc
eth,bitgo,Ethereum,teth
ltc,bitgo,Litecoin,tltc
xrp,bitgo,XRP,txrp
algo,bitgo,Algorand,talgo
comp,bitgo,Compound,tcomp
shib,bitgo,Shiba Inu,tshib
avax,bitgo,Avalanche,tavaxc
hbar,bitgo,Hedera,thbar
trx,bitgo,TRON,ttrx
xlm,bitgo,Stellar,txlm
bch,bitgo,Bitcoin Cash,tbch
eos,bitgo,EOS,teos
uni,bitgo,Uniswap,tuni
usdc,bitgo,USD Coin,tusdc
matic,bitgo,Polygon,tmatic
axs,bitgo,Axie Infinity,taxs
sushi,bitgo,SushiSwap,tsushi
yfi,bitgo,yearn.finance,tyfi
dai,bitgo,Dai,tdai
enj,bitgo,Enjin Coin,tenj
sand,bitgo,The Sandbox,tsand
mkr,bitgo,Maker,tmkr
crv,bitgo,Curve DAO Token,tcrv
ftm,bitgo,Fantom,tftm
badger,bitgo,Badger DAO,tbadger
1inch,bitgo,1inch Network,t1inch
perp,bitgo,Perpetual Protocol,tperp
cream,bitgo,Cream Finance,tcream
usdt,bitgo,Tether,test
link,bitgo,Chainlink,tdai
sxp,bitgo,SXP,tsxp
bat,bitgo,Basic Attention Token,tbat
chz,bitgo,Chiliz,tchz
zrx,bitgo,0x,tzrx
snx,bitgo,Synthetix,tsnx
lrc,bitgo,Loopring,tlrc
aave,bitgo,Aave,taave
bnt,bitgo,Bancor,tbnt
grt,bitgo,The Graph,tgrt
busd,bitgo,Binance USD,tbusd
tusd,bitgo,TrueUSD,ttusd
cro,bitgo,Crypto.com Coin,tcro
ftt,bitgo,FTX Token,tftt
leo,bitgo,UNUS SED LEO,tleo
ht,bitgo,Huobi Token,tht
cel,bitgo,Celsius,tcel
audio,bitgo,Audius,taudio
band,bitgo,Band Protocol,tband
dodo,bitgo,DODO,tdodo
knc,bitgo,Kyber Network Crystal v2,tknc
bal,bitgo,Balancer,tbal
mith,bitgo,Mithril,tmith
mtl,bitgo,Metal,tmtl
omg,bitgo,OMG Network,tomg
storj,bitgo,Storj,tstorj
alpha,bitgo,Alpha Finance Lab,talpha
dent,bitgo,Dent,tdent
hxro,bitgo,Hxro,thxro
loom,bitgo,Loom Network,tloom
orbs,bitgo,Orbs,torbs
paxg,bitgo,PAX Gold,tpaxg
slp,bitgo,Smooth Love Potion,tslp
wbtc,bitgo,Wrapped Bitcoin,twbtc
yfii,bitgo,DFI.Money,tyfii
xtz,bitgo,Tezos,txtz
egld,bitgo,Elrond,tegld
oxy,bitgo,Oxygen,toxy
pundix,bitgo,Pundi X (New),tpundix
reef,bitgo,Reef,treef
skl,bitgo,SKALE Network,tskale
mana,bitgo,Decentraland,tmana
pax,bitgo,Pax Dollar,tpax
